ponto,cidade,cnpj,tipo,raio
BRASA BURGUER - WL- BRASA,Elias Fausto - SP,,CLIENTE,0
MINERVA S.A - MINERVA BARRETOS,Barretos - SP,,CLIENTE,0
INGU DISTRIBUIDORA PROTENDIT,Sao Paulo - SP,,CLIENTE,0
LOG FRIO LOGISTICA,Barueri - SP,,CLIENTE,0
POSTO DO MAMAO,Rio de Janeiro Capital - RJ,,ABASTECIMENTO,0
POSTO PETROBRAS ANHANGUERA,Sao Paulo - SP,,ABASTECIMENTO,0
APETITO FOODS LTDA,Sao Paulo - SP,,CLIENTE,0
JBS S-A NOVA SANTA RITA,Nova Santa Rita - RS,,CLIENTE,0
TORRE E CIA SUPERMERCADO  S .A - TORRE,Rio de Janeiro Capital - RJ,,CLIENTE,0
MEGA CENTER DE ALIMENTOS LTDA - FA -MEGA,Rio de Janeiro Capital - RJ,,CLIENTE,0
ARMAZEM E BAR  FLOR DA POSSE LTDA,Rio de Janeiro Capital - RJ,,CLIENTE,0
Plena Alimentos S-A PLENA 3,Contagem - MG,,CLIENTE,0
POSTO SAN MARTINS SAO GABRIEL,Sao Gabriel do Oeste - MS,,ABASTECIMENTO,0
BMG FOODS SAO GABRIEL DO OESTE,Sao Gabriel do Oeste - MS,,FILIAL,0
IR BONATTI E CIA LTDA -  BONATTI,Rio do Oeste - SC,,CLIENTE,0
SADELLE ALIMENTOS LTDA - SADELLE,Florestal - MG,,CLIENTE,0
NOSSO ATACAREJO ACU,Acu - RN,,CLIENTE,0
Distribuidora Facanha  COMERCIO DE ALIMENTOS,Fortaleza Capital - CE,,CLIENTE,0
Centro de Distribuicao Queiroz MOSSORO,Mossoro - RN,,CLIENTE,0
T&T Comercio e Representacao Ltda - Filial Fortaleza,Fortaleza Capital - CE,,CLIENTE,0
Log Frio DUQUE DE CAXIAS,Rio de Janeiro Capital - RJ,,CLIENTE,0
FORMOSO CARNES E DERIVADOS LTDA - FORMOSO,Rio de Janeiro Capital - RJ,,CLIENTE,0
PREFECAMP,Campo Grande Capital - MS,,CLIENTE,0
LINCON IND E COMERCIO LTDA -DL-TROPE,Contagem - MG,,CLIENTE,0
FRIGORIFICO E COMERCIO DE ALIMENTOS TALISMA LTDA,Socorro - SP,,CLIENTE,0
MARFRIG ALIMENTOS SA - MARFRIG,Promissao - SP,,CLIENTE,0
